id;customer_id;order_status;order_date
1;99a499c6-dc46-482c-97c2-c56eae71311c;PENDING;2025-03-20T15:04:06
2;96a3c08d-3a32-4d85-963a-e99a005219f2;PENDING;2025-03-20T23:08:15
3;37e5ddc8-e02a-436b-817d-7ab67c901651;SHIPPED;2025-03-20T19:49:53
4;57976295-4fe1-40ad-8843-2bf4e1afb15f;DELIVERED;2025-03-20T20:55:30
5;3925527b-71a8-4397-869b-1bdb6e1996e8;DELIVERED;2025-03-20T13:46:08
6;fe3e8053-3f75-4a83-bb0b-aa45190b89df;DELIVERED;2025-03-21T00:06:50
7;fc903e08-9da5-45c9-b265-7ea4e20657e6;PENDING;2025-03-20T13:48:45
8;258ca494-a4d4-497e-b492-47847057b83c;PENDING;2025-03-20T12:46:21
9;2704fbd5-0312-4acb-9f28-31c7669e1dbd;PENDING;2025-03-20T23:44:51
10;58ba68c8-c530-416c-bef0-df7b974d8d7d;DELIVERED;2025-03-20T15:11:27
